,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,2,出,品,,,,,,,,,,,,,,
1,6,看,看,你,,,,,,,,,,,,,
2,10,坐,在,那,儿,,,,,,,,,,,,
3,14,觉,得,自,己,是,个,好,人,,,,,,,,
4,18,你,才,不,是,好,人,,,,,,,,,,
5,22,相,信,我,,,,,,,,,,,,,
6,26,现,实,中,就,没,有,好,人,,,,,,,,
7,30,我,以,前,也,像,你,一,样,,,,,,,,
8,34,认,为,努,力,工,作,和,公,平,竞,争,,,,,
9,38,就,会,带,来,成,功,和,幸,福,,,,,,,
10,42,不,会,的,,,,,,,,,,,,,
11,46,公,平,竞,争,就,是,个,笑,话,,,,,,,
12,50,是,有,钱,人,发,明,的,,,,,,,,,
13,51,好,让,我,们,这,些,穷,人,永,远,无,法,翻,身,,
14,55,而,我,一,直,很,穷,人,,,,,,,,,
15,59,这,招,可,骗,不,了,我,,,,,,,,,
16,63,因,为,这,个,世,界,上,只,存,在,两,种,人,,,
17,67,剥,削,别,人,的,人,,,,,,,,,,
18,71,和,被,剥,削,的,人,,,,,,,,,,
19,75,捕,食,者,和,猎,物,,,,,,,,,,
20,79,狮,子,和,绵,羊,,,,,,,,,,,
21,83,我,的,名,字,叫,玛,拉,葛,蕾,森,,,,,,
22,84,我,可,不,是,一,只,小,绵,羊,,,,,,,
23,88,我,是,一,头,母,狮,,,,,,,,,,
24,92,她,是,我,母,亲,,,,,,,,,,,
25,93,我,应,该,有,权,利,随,时,去,看,望,她,,,,
26,97,她,不,需,要,呆,在,疗,养,院,,,,,,,
27,101,她,不,需,要,法,院,指,派,的,监,护,人,,,,
28,105,她,有,一,个,好,儿,子,来,照,顾,她,,,,,
29,109,我,就,是,不,理,解,法,院,怎,么,可,以,,,,
30,110,把,我,母,亲,托,付,给,外,人,,,,,,,
31,114,葛,蕾,森,女,士,在,我,妈,妈,清,楚,表,达,了,,
32,115,拒,绝,的,意,愿,后,,,,,,,,,,
33,119,仍,然,强,制,她,进,入,疗,养,院,,,,,,
34,123,现,在,她,又,拍,卖,了,我,母,亲,的,房,子,,,
35,127,她,的,汽,车,她,的,私,人,物,品,,,,,,
36,131,然,后,她,用,这,笔,收,益,供,自,己,花,销,,,
37,135,现,在,葛,蕾,森,小,姐,完,全,禁,止,我,,,,
38,136,看,望,我,母,亲,,,,,,,,,,,
39,140,这,就,是,一,场,噩,梦,她,绑,架,了,我,母,亲,,
40,144,先,生,请,你,保,持,冷,静,,,,,,,,
41,148,玛,拉,葛,蕾,森,是,一,位,,,,,,,,
42,149,受,人,尊,敬,的,专,业,监,护,人,,,,,,
43,153,并,且,鉴,于,你,的,母,亲,不,能,自,理,,,,
44,157,她,由,本,法,庭,以,及,我,本,人,亲,自,任,命,,
45,161,在,最,大,程,度,上,维,护,你,母,亲,的,利,益,,
46,165,禁,止,儿,子,的,探,访,是,怎,么,,,,,,
47,166,在,最,大,程,度,上,维,护,我,母,亲,的,利,益,的,
48,170,葛,蕾,森,女,士,根,本,不,关,心,我,的,母,亲,,
49,174,对,不,起,法,官,大,人,我,能,发,言,吗,,,,
50,178,请,讲,葛,蕾,森,女,士,,,,,,,,,
51,182,费,尔,德,斯,托,姆,男,士,先,生,,,,,,
52,186,我,很,同,情,你,,,,,,,,,,,
53,190,但,是,法,庭,不,会,无,缘,无,故,委,托,我,的,,
54,194,你,的,母,亲,生,活,不,能,自,理,,,,,,
55,195,这,不,是,真,的,,,,,,,,,,,
56,199,医,生,已,经,诊,断,她,患,有,老,年,痴,呆,,,
57,200,费,尔,德,斯,托,姆,先,生,并,且,提,供,了,,,
58,204,建,议,立,刻,采,取,措,施,,,,,,,,
59,205,来,保,障,她,安,全,的,证,词,,,,,,,
60,209,你,本,来,有,足,够,的,时,间,,,,,,,
61,213,送,她,去,疗,养,院,或,者,带,她,去,你,家,,,
62,217,你,哪,个,都,没,有,做,,,,,,,,,
63,221,她,不,想,离,开,自,己,的,家,好,吗,,,,,
64,222,她,求,我,不,要,,,,,,,,,,,
65,226,你,不,能,按,照,她,的,意,愿,来,照,顾,她,,,
66,230,你,必,须,按,照,她,的,需,要,来,照,顾,,,,
67,234,这,就,是,为,什,么,我,比,她,的,家,人,,,,
68,235,更,适,合,照,料,她,,,,,,,,,,
69,239,因,为,我,不,会,牵,扯,个,人,利,益,进,来,,,
70,243,我,只,会,为,你,妈,妈,做,对,她,正,确,的,事,,
71,247,所,以,我,承,认,我,管,理,着,你,母,亲,的,财,产,
72,248,因,为,必,须,有,人,打,理,,,,,,,,
73,252,她,自,己,处,理,只,会,一,团,糟,,,,,,
74,256,并,且,我,必,须,支,付,她,的,疗,养,费,用,,,
75,260,所,以,我,承,认,我,监,管,了,,,,,,,
76,261,她,的,一,部,分,金,融,资,产,的,出,售,,,,
77,265,我,承,认,我,也,收,取,了,我,的,工,资,,,,
78,266,因,为,看,护,是,我,的,工,作,先,生,,,,,
79,270,这,是,我,的,职,业,,,,,,,,,,
80,274,这,就,是,我,一,直,在,做,的,,,,,,,
81,278,每,一,天,每,个,小,时,我,都,在,看,护,,,,
82,282,我,照,看,那,些,需,要,保,护,的,人,,,,,
83,286,保,护,他,们,不,受,冷,落,保,护,他,们,的,自,尊,
84,290,并,且,经,常,性,地,,,,,,,,,,
85,291,保,护,他,们,不,受,自,己,孩,子,的,伤,害,,,
86,295,喂,不,,,,,,,,,,,,,,
87,296,法,官,大,人,,,,,,,,,,,,
88,300,你,和,我,见,过,太,多,次,了,,,,,,,
89,304,子,女,们,宁,愿,让,自,己,的,父,母,缺,衣,少,食,
90,305,忍,受,病,痛,,,,,,,,,,,,
91,309,也,不,愿,意,动,用,他,们,已,经,视,为,遗,产,的,钱
92,313,来,支,付,必,要,的,看,护,费,用,,,,,,
93,317,费,尔,德,斯,特,伦,男,士,先,生,,,,,,
94,321,我,同,情,你,真,的,,,,,,,,,,
95,325,但,你,对,你,妈,妈,的,探,望,让,她,难,过,,,
96,329,上,次,你,去,看,望,的,时,候,,,,,,,
97,330,你,袭,击,了,一,位,工,作,人,员,,,,,,
98,334,并,且,蓄,意,破,环,了,接,待,区,域,,,,,
99,338,这,难,道,不,是,事,实,吗,,,,,,,,
100,342,那,个,,,,,,,,,,,,,,
101,346,法,官,大,人,我,认,为,,,,,,,,,
102,350,下,达,谢,绝,探,访,命,令,的,理,由,,,,,
103,351,已,经,非,常,充,分,,,,,,,,,,
104,355,这,个,法,庭,理,应,尽,全,力,保,护,和,帮,助,,
105,356,费,尔,德,斯,特,伦,女,士,,,,,,,,
106,360,而,她,儿,子,的,行,为,,,,,,,,,
107,364,正,在,损,害,我,们,在,这,场,斗,争,中,的,,,
108,365,全,部,努,力,,,,,,,,,,,,
109,369,我,同,意,命,令,执,行,,,,,,,,,
110,373,什,么,不,行,,,,,,,,,,,,
111,377,你,胜,诉,了,,,,,,,,,,,,
112,381,是,的,,,,,,,,,,,,,,
113,382,我,就,知,道,你,可,以,,,,,,,,,
114,386,喂,,,,,,,,,,,,,,,
115,390,臭,娘,们,儿,,,,,,,,,,,,
116,394,说,你,呢,,,,,,,,,,,,,
117,398,臭,娘,们,儿,,,,,,,,,,,,
118,399,我,觉,得,他,在,跟,你,说,话,,,,,,,
119,403,那,就,喊,我,名,字,啊,,,,,,,,,
120,404,婊,子,,,,,,,,,,,,,,
121,408,喂,你,就,不,怕,遭,报,应,吗,,,,,,,
122,412,我,们,的,生,活,都,被,毁,了,,,,,,,
123,416,我,只,是,在,完,成,我,的,工,作,,,,,,
124,420,你,他,妈,的,工,作,,,,,,,,,,
125,424,去,你,妈,的,,,,,,,,,,,,
126,425,喂,,,,,,,,,,,,,,,
127,429,我,祝,你,被,强,奸,我,祝,你,被,谋,杀,,,,
128,433,我,祝,你,不,得,好,死,,,,,,,,,
129,437,你,这,该,死,的,混,蛋,,,,,,,,,
130,441,活,够,了,吧,你,这,混,蛋,小,心,我,,,,,
131,445,因,为,我,是,女,的,你,是,不,是,更,憋,屈,了,,
132,449,竟,然,被,一,个,娘,们,搞,得,一,败,涂,地,,,
133,453,长,了,根,老,二,不,代,表,我,会,不,自,觉,地,怕,你
134,457,恰,恰,相,反,,,,,,,,,,,,
135,461,你,可,能,是,个,男,人,,,,,,,,,
136,465,但,如,果,你,敢,,,,,,,,,,,
137,469,再,威,胁,我,碰,我,或,者,冲,我,吐,痰,一,次,,
138,473,我,会,抓,住,你,的,鸡,巴,蛋,,,,,,,
139,477,然,后,我,会,把,它,们,连,根,扯,掉,,,,,
140,481,听,懂,了,吗,,,,,,,,,,,,
141,485,我,会,告,诉,你,妈,,,,,,,,,,
142,486,你,送,上,了,最,诚,挚,的,祝,福,,,,,,
143,490,葛,蕾,森,监,护,,,,,,,,,,,
144,494,谢,谢,,,,,,,,,,,,,,
145,498,柯,蒂,斯,,,,,,,,,,,,,
146,502,嗨,干,得,不,错,,,,,,,,,,,
147,506,你,又,做,到,了,,,,,,,,,,,
148,510,嗨,老,板,恭,喜,你,胜,诉,了,,,,,,,
149,514,谢,谢,艾,迪,现,在,几,点,了,,,,,,,
150,518,现,在,是,点,分,加,上,往,返,路,程,,,,,
151,519,差,不,多,用,了,个,多,小,时,,,,,,,
152,523,就,算,六,个,小,时,吧,,,,,,,,,
153,524,向,费,尔,德,斯,特,伦,的,账,户,收,费,收,全,价,
154,528,好,山,姆,莱,斯,打,过,电,话,叫,你,回,电,话,,
155,532,好,的,我,等,下,在,屋,里,打,,,,,,,
156,536,弗,兰,给,房,地,产,经,纪,人,打,个,电,话,,,
157,537,问,一,下,巴,特,尔,财,产,权,的,进,度,,,,
158,541,储,蓄,账,户,差,不,多,没,钱,了,,,,,,
159,545,下,个,月,就,不,够,公,司,开,销,了,,,,,
160,549,知,道,了,,,,,,,,,,,,,
161,553,费,尔,德,斯,特,伦,,,,,,,,,,
162,557,接,通,山,姆,,,,,,,,,,,,
163,561,山,姆,你,好,吗,,,,,,,,,,,
164,565,嗨,我,很,好,玛,拉,你,怎,么,样,,,,,,
165,569,努,力,工,作,努,力,玩,耍,,,,,,,,
166,573,了,不,起,,,,,,,,,,,,,
167,574,你,打,过,电,话,,,,,,,,,,,
168,578,对,我,有,消,息,要,告,诉,你,,,,,,,
169,582,好,消,息,还,是,坏,消,息,,,,,,,,
170,586,都,有,,,,,,,,,,,,,,
171,590,你,的,受,监,护,人,艾,伦,李,维,特,,,,,
172,591,在,我,们,巴,克,夏,奥,克,斯,这,个,分,院,,,
173,595,他,刚,刚,死,了,,,,,,,,,,,
174,599,什,么,,,,,,,,,,,,,,
175,603,艾,伦,今,天,早,上,走,的,抱,歉,,,,,,
176,607,不,艾,伦,莱,维,特,真,的,吗,,,,,,,
177,611,怎,么,死,的,,,,,,,,,,,,
178,612,中,风,很,严,重,,,,,,,,,,,
179,616,但,他,很,年,轻,啊,,,,,,,,,,
180,620,刚,刚,六,十,九,岁,零,三,个,月,大,,,,,
181,624,天,啊,,,,,,,,,,,,,,
182,628,艾,伦,,,,,,,,,,,,,,
183,632,该,死,他,才,在,我,们,这,儿,半,年,,,,,
184,636,我,以,为,他,至,少,还,能,再,支,撑,我,们,五,年,
185,640,该,死,我,现,在,必,须,把,他,变,现,了,,,,
186,641,把,所,有,事,情,推,给,他,的,继,承,人,,,,
187,645,真,是,太,浪,费,了,,,,,,,,,,
188,649,也,许,他,觉,得,你,人,不,错,,,,,,,
189,650,把,你,写,进,遗,嘱,里,呢,,,,,,,,
190,654,才,怪,,,,,,,,,,,,,,
191,658,所,以,好,消,息,是,什,么,,,,,,,,
192,662,因,为,艾,伦,的,悲,痛,离,去,,,,,,,
193,663,我,们,现,在,有,空,位,了,,,,,,,,
194,667,他,的,房,间,,,,,,,,,,,,
195,671,那,是,转,角,的,豪,华,房,,,,,,,,
196,672,是,的,,,,,,,,,,,,,,
197,676,先,等,我,一,会,儿,,,,,,,,,,
198,680,玛,拉,你,不,是,城,里,唯,一,的,玩,家,,,,
199,681,我,这,儿,还,有,候,补,名,单,呢,,,,,,
200,685,去,他,的,候,补,名,单,多,少,钱,,,,,,
201,689,每,周,两,千,直,到,有,人,住,为,止,,,,,
202,693,两,千,美,元,上,次,是,五,百,美,元,,,,,
203,697,如,果,你,不,交,钱,别,人,会,的,,,,,,
204,701,去,你,的,山,姆,好,吧,两,千,美,元,,,,,
205,705,谢,了,山,姆,,,,,,,,,,,,
206,709,不,客,气,玛,拉,,,,,,,,,,,
207,713,怎,么,了,,,,,,,,,,,,,
208,717,你,懂,的,,,,,,,,,,,,,
209,721,好,好,开,车,,,,,,,,,,,,
210,725,马,上,回,来,,,,,,,,,,,,
211,726,嗨,佩,特,拉,,,,,,,,,,,,
212,730,凯,伦,医,生,正,在,等,我,,,,,,,,
213,734,艾,伦,莱,维,特,该,死,,,,,,,,,
214,738,抱,歉,我,还,以,为,他,会,很,长,寿,,,,,
215,742,我,知,道,所,以,我,们,现,在,,,,,,,
216,743,正,在,市,场,上,寻,找,新,客,户,,,,,,
217,747,有,谁,适,合,我,们,吗,,,,,,,,,
218,751,我,的,确,想,摆,脱,掉,几,个,人,,,,,,
219,755,那,几,个,难,伺,候,的,混,蛋,,,,,,,
220,759,但,是,有,一,个,我,一,直,想,跟,你,说,的,人,,
221,763,我,一,直,在,调,查,她,,,,,,,,,
222,764,而,且,我,觉,得,她,也,许,是,,,,,,,
223,768,不,会,吧,,,,,,,,,,,,,
224,772,我,都,不,想,说,出,来,,,,,,,,,
225,773,肥,羊,,,,,,,,,,,,,,
226,777,是,的,也,许,吧,我,觉,得,是,,,,,,,
227,781,别,逗,我,,,,,,,,,,,,,
228,785,告,诉,我,细,节,,,,,,,,,,,
229,789,拜,托,玛,拉,,,,,,,,,,,,
230,793,我,不,能,免,费,送,你,一,个,肥,羊,,,,,
231,794,我,需,要,一,些,回,报,,,,,,,,,
232,798,你,在,金,光,护,理,院,有,股,份,对,吧,,,,
233,802,对,我,们,有,些,股,份,,,,,,,,,
234,806,让,我,也,分,一,杯,羹,,,,,,,,,
235,810,拜,托,我,在,帮,你,挣,大,钱,,,,,,,
236,814,但,是,我,几,乎,没,挣,到,什,么,,,,,,
237,818,让,我,尝,尝,甜,头,,,,,,,,,,
238,822,成,交,,,,,,,,,,,,,,
239,826,但,她,必,须,是,真,的,肥,羊,要,讲,诚,信,,,
240,830,詹,妮,弗,彼,得,森,,,,,,,,,,
241,834,她,的,身,体,相,当,健,康,,,,,,,,
242,838,但,在,最,近,,,,,,,,,,,,
243,839,她,出,现,一,些,失,忆,和,糊,涂,的,症,状,,,
244,843,严,重,吗,,,,,,,,,,,,,
245,847,不,严,重,但,是,我,们,可,以,操,纵,这,点,,,
246,848,举,行,一,场,按,我,们,的,方,式,进,行,的,听,审,
247,852,她,没,有,子,女,没,有,丈,夫,,,,,,,
248,856,没,有,在,世,的,家,人,,,,,,,,,
249,860,一,个,都,没,有,,,,,,,,,,,
250,864,她,有,很,可,观,的,保,险,,,,,,,,
251,868,她,告,诉,我,她,以,前,在,芝,加,哥,做,金,融,工,作
252,869,然,后,搬,到,这,里,退,休,,,,,,,,
253,873,能,给,我,一,份,副,本,吗,,,,,,,,
254,877,当,然,,,,,,,,,,,,,,
255,881,除,了,她,的,检,查,结,果,那,样,可,不,太,道,德,
256,885,当,然,了,,,,,,,,,,,,,
257,889,詹,妮,弗,彼,得,森,年,月,日,生,人,,,,,
258,893,她,住,在,沙,尔,克,罗,斯,的,威,廉,姆,斯,街,号,
259,897,这,是,一,个,不,错,的,社,区,,,,,,,
260,901,价,格,昂,贵,,,,,,,,,,,,
261,905,她,七,年,前,买,了,这,栋,住,房,,,,,,
262,906,完,全,拥,有,产,权,,,,,,,,,,
263,910,信,用,极,佳,没,有,丝,毫,不,良,记,录,,,,
264,914,没,有,债,务,没,有,犯,罪,记,录,,,,,,
265,918,从,未,结,婚,,,,,,,,,,,,
266,922,她,在,同,一,家,公,司,工,作,了,四,十,年,,,
267,926,转,身,踢,腿,,,,,,,,,,,,
268,930,她,的,退,休,应,该,是,公,司,进,行,了,裁,员,,
269,934,清,偿,了,债,务,,,,,,,,,,,
270,938,现,在,她,坐,在,一,窝,金,蛋,上,,,,,,
271,942,像,只,肥,得,流,油,的,鹅,,,,,,,,
272,946,看,看,这,个,,,,,,,,,,,,
273,950,她,的,税,收,报,表,,,,,,,,,,
274,954,上,面,显,示,她,有,三,个,单,独,的,储,蓄,账,户,
275,958,都,在,替,她,赚,取,高,额,利,息,,,,,,
276,962,她,喜,欢,白,天,去,看,电,影,,,,,,,
277,966,她,经,常,读,书,喜,欢,园,艺,,,,,,,
278,970,就,是,你,常,对,付,的,那,种,老,太,太,,,,
279,974,她,正,坐,在,一,堆,钞,票,上,,,,,,,
280,978,她,有,钱,独,立,有,文,化,,,,,,,,
281,982,这,位,女,士,简,直,就,是,我,的,英,雄,啊,,,
282,986,凯,伦,,,,,,,,,,,,,,
283,990,我,是,玛,拉,,,,,,,,,,,,
284,994,开,始,动,詹,妮,弗,彼,得,森,吧,,,,,,
285,998,你,会,得,到,你,想,要,的,股,份,,,,,,
286,1002,彼,得,森,女,士,经,常,犯,糊,涂,,,,,,
287,1006,并,且,表,现,出,记,忆,和,自,理,困,难,的,问,题,
288,1010,她,的,行,动,能,力,受,损,,,,,,,,
289,1014,她,不,能,够,充,分,地,照,顾,自,己,,,,,
290,1018,我,相,信,如,果,她,独,自,留,在,自,己,家,中,,
291,1019,会,处,于,高,危,状,态,,,,,,,,,
292,1023,她,没,有,家,人,吗,,,,,,,,,,
293,1027,除,了,我,们,没,有,人,会,照,顾,她,,,,,
294,1031,这,太,糟,糕,了,可,怜,的,女,人,,,,,,
295,1035,好,吧,葛,蕾,森,小,姐,,,,,,,,,
296,1039,你,觉,得,你,能,收,她,为,你,的,被,监,护,人,吗,
297,1043,我,知,道,你,需,要,照,顾,的,人,已,经,有,很,多,了
298,1047,可,以,法,官,大,人,,,,,,,,,,
299,1048,如,果,你,需,要,我,去,照,顾,她,的,话,,,,
300,1052,我,可,以,照,顾,她,,,,,,,,,,
301,1056,谢,谢,你,玛,拉,,,,,,,,,,,
302,1060,监,护,人,证,书,,,,,,,,,,,
303,1064,彼,得,森,女,士,我,叫,玛,拉,葛,蕾,森,,,,
304,1068,我,和,你,的,主,治,医,师,,,,,,,,
305,1069,凯,伦,艾,莫,斯,一,起,合,作,,,,,,,
306,1073,我,能,和,你,谈,两,分,钟,吗,,,,,,,
307,1077,早,上,好,彼,得,森,女,士,,,,,,,,
308,1078,我,很,抱,歉,这,么,早,打,扰,你,,,,,,
309,1082,你,是,位,医,生,吗,,,,,,,,,,
310,1086,不,女,士,我,,,,,,,,,,,,
311,1090,我,能,给,你,看,看,这,个,吗,,,,,,,
312,1094,我,需,要,去,拿,我,的,老,花,镜,马,上,就,回,来,
313,1098,我,不,确,定,这,是,什,么,东,西,,,,,,
314,1102,这,是,法,院,命,令,女,士,,,,,,,,
315,1106,法,院,命,令,,,,,,,,,,,,
316,1110,但,是,这,跟,我,有,什,么,关,系,,,,,,
317,1114,这,是,你,的,名,字,对,吧,,,,,,,,
318,1118,詹,妮,弗,彼,得,森,你,的,出,生,日,期,,,,
319,1119,你,的,社,保,号,码,,,,,,,,,,
320,1123,和,这,个,地,址,,,,,,,,,,,
321,1127,我,的,天,啊,是,我,做,错,了,什,么,吗,,,,
322,1131,没,有,女,士,这,是,为,了,帮,助,你,,,,,
323,1135,法,院,在,医,生,的,指,导,下,已,经,裁,定,,,
324,1139,你,需,要,协,助,才,能,照,顾,好,自,己,,,,
325,1143,法,院,已,经,委,派,我,做,你,的,法,定,监,护,人,
326,1147,什,么,我,不,,,,,,,,,,,,
327,1151,当,我,们,无,法,充,分,照,顾,自,己,的,时,候,,
328,1155,国,家,会,介,入,进,来,提,供,帮,助,,,,,
329,1159,有,人,受,苦,的,时,候,我,们,不,能,坐,视,不,管,
330,1163,我,没,有,受,苦,,,,,,,,,,,
331,1167,我,很,好,我,再,好,不,过,了,,,,,,,
332,1171,我,不,需,要,帮,助,,,,,,,,,,
333,1175,恐,怕,这,不,是,我,或,者,你,来,决,定,的,,,
334,1179,法,院,已,经,做,出,裁,定,认,为,你,需,要,帮,助,
335,1183,而,作,为,你,的,法,定,监,护,人,,,,,,
336,1184,确,保,你,无,论,什,么,时,候,,,,,,,
337,1188,都,受,到,充,分,地,照,料,是,我,的,职,责,所,在,
338,1192,让,我,告,诉,你,吧,我,从,没,上,过,法,庭,,,
339,1196,这,是,我,第,一,次,听,说,法,院,找,我,,,,
340,1200,在,紧,急,情,况,下,法,庭,可,以,在,,,,,
341,1204,潜,在,监,护,人,未,到,场,的,情,况,下,开,庭,,
342,1208,难,以,置,信,,,,,,,,,,,,
343,1212,女,士,你,必,须,跟,我,走,,,,,,,,
344,1216,我,哪,儿,也,不,去,,,,,,,,,,
345,1220,这,是,法,院,的,命,令,如,果,你,拒,绝,执,行,,
346,1224,恐,怕,会,有,一,些,麻,烦,,,,,,,,
347,1228,我,的,天,,,,,,,,,,,,,
348,1232,如,果,你,觉,得,有,什,么,误,会,,,,,,
349,1233,请,向,法,庭,报,告,申,请,一,场,听,审,,,,
350,1237,但,是,现,在,,,,,,,,,,,,
351,1238,我,还,是,建,议,你,暂,时,跟,我,去,一,趟,,,
352,1242,我,为,你,找,到,的,疗,养,所,,,,,,,
353,1243,如,果,你,觉,得,有,什,么,误,会,,,,,,
354,1247,我,们,可,以,在,那,里,解,决,,,,,,,
355,1251,这,位,是,弗,朗,西,丝,她,会,帮,你,收,拾,行,李,
356,1255,早,上,好,很,高,兴,认,识,你,,,,,,,
357,1259,我,不,敢,相,信,会,发,生,这,种,事,,,,,
358,1260,完,全,没,事,的,,,,,,,,,,,
359,1264,别,碰,我,,,,,,,,,,,,,
360,1265,我,很,抱,歉,,,,,,,,,,,,
361,1269,别,碰,我,,,,,,,,,,,,,
362,1273,家,里,很,漂,亮,彼,得,森,女,士,,,,,,
363,1277,交,给,我,吧,,,,,,,,,,,,
364,1281,我,会,监,督,维,护,你,的,房,产,,,,,,
365,1282,直,到,你,自,己,能,处,理,,,,,,,,
366,1286,我,们,走,吧,我,们,只,想,确,保,,,,,,
367,1290,你,的,财,产,能,被,安,全,地,维,护,,,,,
368,1294,谢,谢,你,柯,蒂,斯,,,,,,,,,,
369,1298,安,全,带,,,,,,,,,,,,,
370,1302,玛,拉,情,况,如,何,了,,,,,,,,,
371,1303,她,是,不,是,不,肯,就,范,,,,,,,,
372,1307,没,她,收,拾,好,行,李,就,跟,我,们,走,了,,,
373,1311,这,些,人,基,本,不,会,反,抗,,,,,,,
374,1315,他,们,看,到,官,方,文,件,和,警,察,,,,,
375,1316,就,会,乖,乖,跟,我,们,走,了,,,,,,,
376,1320,换,我,的,话,可,不,会,乖,乖,就,范,,,,,
377,1324,是,的,你,说,过,,,,,,,,,,,
378,1328,但,是,本,质,上,我,们,大,多,数,都,很,,,,
379,1329,软,弱,温,顺,胆,小,,,,,,,,,,
380,1333,确,实,你,听,说,过,米,尔,格,拉,姆,实,验,吗,,
381,1337,现,在,别,聊,这,个,山,姆,,,,,,,,
382,1338,我,们,已,经,在,送,她,过,去,了,,,,,,
383,1342,好,吧,,,,,,,,,,,,,,
384,1346,山,姆,我,们,接,待,她,要,上,全,套,戏,码,,,
385,1350,收,到,,,,,,,,,,,,,,
386,1354,巴,克,夏,奥,克,斯,老,年,人,之,家,,,,,
387,1358,未,经,许,可,不,得,入,内,,,,,,,,
388,1362,欢,迎,到,家,,,,,,,,,,,,
389,1366,进,来,吧,,,,,,,,,,,,,
390,1370,我,都,忘,了,房,间,有,多,大,了,,,,,,
391,1371,是,啊,,,,,,,,,,,,,,
392,1375,怎,么,不,坐,呢,,,,,,,,,,,
393,1379,这,样,就,有,家,的,感,觉,了,,,,,,,
394,1383,他,们,知,道,你,所,有,的,健,康,状,况,,,,
395,1384,所,有,你,要,吃,的,药,,,,,,,,,
396,1388,不,用,担,心,他,们,会,照,顾,好,一,切,的,,,
397,1392,如,果,你,需,要,我,任,何,时,候,都,可,以,,,
398,1396,不,管,是,白,天,还,是,晚,上,,,,,,,
399,1397,说,一,声,就,行,好,吗,,,,,,,,,
400,1401,你,有,手,机,吗,,,,,,,,,,,
401,1405,解,锁,吧,我,会,存,上,我,的,号,码,,,,,
402,1409,如,果,你,需,要,打,电,话,,,,,,,,
